,population,population_rank,aland,median_household_income,average_household_income,per_capita_income,percent_of_households_with_incomes_200000_or_more,householder_under_25_years,householder_25_to_44_years,householder_45_to_64_years,householder_65_years_and_over,hhi_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,population_density_sq_mi,median_age,educational_attainment_bachelors,educational_attainment_graduate,family_poverty_pct,unemployment_pct,housing_units,median_value_of_owner_occupied_units
hhi_150k_to_1999k,-0.08683097815858173,0.06780280614675023,0.03863021643081153,0.4197651170788108,0.3056162660710448,0.2505926080371466,0.31038334018509367,0.28704078597403154,0.4036893068322822,0.3833658620704116,0.20224657889894476,0.6623324172658167,0.02409333049785768,0.13461499646890854,0.352360473252961,0.6018719880944284,0.8518356088091622,1.0,0.7832544786003882,0.5126892761845822,-0.03623803852397018,0.1595116515822926,0.3543668156552606,0.2199397833224027,-0.4212443420974017,-0.3254248661118623,0.6482245925742399,0.18876928251321623
hhi_200k_or_more,-0.010157755280395152,0.03526334630839991,-0.0292743241540875,0.6843239874103859,0.6458884620788836,0.6119609279031806,0.6962485118918228,0.42542609841208584,0.6899573362955377,0.6403071909125465,0.41339090513500093,0.3872126318305368,-0.14365574999656908,-0.151101013827489,-0.011169628625978638,0.2065854405351012,0.5056551144642861,0.7832544786003882,1.0,0.186930319545781,0.04530859662320359,0.30040596676641523,0.6039055330275004,0.5675438060094282,-0.4670760010223509,-0.3997274837707464,0.38929768801462705,0.5665912905057812
race_and_ethnicity_total,-0.02191246172383751,0.024841365923876344,0.13518533324414586,-0.2292891424051417,-0.29909994444238075,-0.3286347744443972,-0.2970469512064679,-0.046701072609677374,-0.26079775784922066,-0.22810241061429706,-0.23784090022438403,0.8953562612027705,0.6450982704939358,0.804121412764139,0.875244432099838,0.8645575219299829,0.7551175512889976,0.5126892761845822,0.186930319545781,1.0,0.12871979100237135,-0.261072913552049,-0.33569521865182345,-0.380140672600717,0.10461971105992546,0.03656172203898837,0.8801274305258913,-0.2954539660770974
population_density_sq_mi,0.3359372785532024,-0.253913378639836,-0.3516516945553919,-0.1994317826256803,-0.1422847056966588,-0.00916927793455205,-0.0898611258463963,0.03163548137927436,-0.08944938934262614,-0.27847587959242937,-0.28344888313357447,0.19304588129646932,0.38330123257846094,0.24294898633039452,0.15388769950856496,0.06076928623924131,-0.009642660447728596,-0.03623803852397018,0.04530859662320359,0.12871979100237135,1.0,-0.14585962690784895,0.07128568933997621,-0.003119507549163134,0.20937074465552413,-0.00499734448171345,0.2046325110164128,0.14683961573118193
median_age,-0.0076790032889425455,0.11200287212658394,-0.04111727497233797,0.44703745458018934,0.44913017100209235,0.5744000265205345,0.4409564952499639,0.19059398825867957,0.4652150824873619,0.43185415091865664,0.3477632636278168,-0.13123080137894036,-0.3286127021656113,-0.33301031017391053,-0.27777072819119414,-0.1683605772412654,-0.018138653416608162,0.1595116515822926,0.30040596676641523,-0.261072913552049,-0.14585962690784895,1.0,0.38994585635518936,0.34163841027055236,-0.49806613890665724,-0.3999320525431423,-0.1122639915383054,0.3892484003090169
educational_attainment_bachelors,0.1210158604054036,-0.06847325446229204,-0.1861495272270423,0.6881005636459586,0.7376674049743831,0.7610053067593114,0.7494199158752936,0.2753527523878359,0.6995800226234015,0.6667769370150521,0.5268543704535958,-0.11660483292637715,-0.4046520684887875,-0.48982943901430687,-0.380678939402024,-0.191150352892234,0.08743092292460791,0.3543668156552606,0.6039055330275004,-0.33569521865182345,0.07128568933997621,0.38994585635518936,1.0,0.773781337579093,-0.5144285034385103,-0.44950815021616364,-0.09607641953009707,0.7208332732224871
educational_attainment_graduate,0.042486408262028305,-0.011796649637137278,-0.15261218971613966,0.7079781748034877,0.7834930869308665,0.7975517741516414,0.8128701232387753,0.24058314118243457,0.7095970681724483,0.7428152332922687,0.6611951959393544,-0.19848678330861275,-0.39513169132164566,-0.5033995077870381,-0.45309800132940686,-0.31040764970534684,-0.07255857875402312,0.2199397833224027,0.5675438060094282,-0.380140672600717,-0.003119507549163134,0.34163841027055236,0.773781337579093,1.0,-0.5067251342595193,-0.4161384657845503,-0.18344216242798012,0.759507811702426
family_poverty_pct,0.13500793674879147,-0.1460402543002537,0.023260579542258776,-0.6407028591786472,-0.5769387107490171,-0.5654772114790176,-0.5668039773108817,-0.3071408145313137,-0.610033756779444,-0.6374508342757942,-0.5101149982524741,-0.01757074084222723,0.47562354035384613,0.37037080754800017,0.19377911863968547,-0.021470096386469375,-0.259232933986499,-0.4212443420974017,-0.4670760010223509,0.10461971105992546,0.20937074465552413,-0.49806613890665724,-0.5144285034385103,-0.5067251342595193,1.0,0.6452525562127125,-0.014239815469581526,-0.41659388588757273
unemployment_pct,0.06645133382176836,-0.05953885532109427,0.055930102622551846,-0.5135313670047535,-0.4537420222626393,-0.5101369827575667,-0.4574925298263073,-0.24195877387848425,-0.5009077756458423,-0.4937180312491214,-0.3389281611248993,-0.017405168490067166,0.32485931790782746,0.28496203709275736,0.16529115915266984,0.009687762091957269,-0.17475551652362206,-0.3254248661118623,-0.3997274837707464,0.03656172203898837,-0.00499734448171345,-0.3999320525431423,-0.44950815021616364,-0.4161384657845503,0.6452525562127125,1.0,-0.018021708072058256,-0.38205679174028506
housing_units,0.05890200484315192,-0.020515995806744722,0.09756346940145566,-0.15506197271061278,-0.19206945007927512,-0.13674149603458324,-0.1733169490279211,-0.01123254862796852,-0.1551602496292089,-0.17023865729839258,-0.20907513391054483,0.9935632010614048,0.7017313081883835,0.791726467299537,0.8766900635127799,0.8958136946579308,0.8385322206959107,0.6482245925742399,0.38929768801462705,0.8801274305258913,0.2046325110164128,-0.1122639915383054,-0.09607641953009707,-0.18344216242798012,-0.014239815469581526,-0.018021708072058256,1.0,-0.1353235828560737
median_value_of_owner_occupied_units,0.17219028122593732,-0.03660907980360096,-0.2029251984544887,0.6829661075617259,0.8300925562940107,0.8129260892665703,0.8120203077541668,0.3161235077499189,0.6795629984001844,0.6732380388473457,0.5782710544104547,-0.15318909116416451,-0.34207744472285867,-0.42326474772510614,-0.38258537342279764,-0.2628555236402067,-0.06747908761628721,0.18876928251321623,0.5665912905057812,-0.2954539660770974,0.14683961573118193,0.3892484003090169,0.7208332732224871,0.759507811702426,-0.41659388588757273,-0.38205679174028506,-0.1353235828560737,1.0
